2017-06-19 03:46:21 startup archives install
2017-06-19 03:46:21 install base-passwd:armhf <none> 3.5.39
2017-06-19 03:46:21 status half-installed base-passwd:armhf 3.5.39
2017-06-19 03:46:22 status unpacked base-passwd:armhf 3.5.39
2017-06-19 03:46:22 status unpacked base-passwd:armhf 3.5.39
2017-06-19 03:46:22 configure base-passwd:armhf 3.5.39 3.5.39
2017-06-19 03:46:22 status unpacked base-passwd:armhf 3.5.39
2017-06-19 03:46:22 status half-configured base-passwd:armhf 3.5.39
2017-06-19 03:46:23 status installed base-passwd:armhf 3.5.39
2017-06-19 03:46:23 startup archives install
2017-06-19 03:46:23 install base-files:armhf <none> 9.4ubuntu4
2017-06-19 03:46:23 status half-installed base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 configure base-files:armhf 9.4ubuntu4 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:23 status half-configured base-files:armhf 9.4ubuntu4
2017-06-19 03:46:24 status installed base-files:armhf 9.4ubuntu4
2017-06-19 03:46:24 startup archives install
2017-06-19 03:46:24 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2017-06-19 03:46:24 status half-configured dpkg 1.18.4ubuntu1
2017-06-19 03:46:24 status unpacked dpkg 1.18.4ubuntu1
2017-06-19 03:46:24 status half-installed dpkg 1.18.4ubuntu1
2017-06-19 03:46:25 status half-installed dpkg 1.18.4ubuntu1
2017-06-19 03:46:25 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:25 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:25 configure dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2017-06-19 03:46:25 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:25 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:25 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:25 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:25 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:25 status half-configured dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:25 status installed dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:26 startup archives install
2017-06-19 03:46:26 install libc6:armhf <none> 2.23-0ubuntu3
2017-06-19 03:46:26 status half-installed libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:29 status unpacked libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:29 status unpacked libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:30 configure libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2017-06-19 03:46:30 status unpacked libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:30 status unpacked libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:30 status half-configured libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:30 status installed libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:31 startup archives install
2017-06-19 03:46:31 install perl-base:armhf <none> 5.22.1-9
2017-06-19 03:46:31 status half-installed perl-base:armhf 5.22.1-9
2017-06-19 03:46:33 status unpacked perl-base:armhf 5.22.1-9
2017-06-19 03:46:33 status unpacked perl-base:armhf 5.22.1-9
2017-06-19 03:46:33 configure perl-base:armhf 5.22.1-9 5.22.1-9
2017-06-19 03:46:33 status unpacked perl-base:armhf 5.22.1-9
2017-06-19 03:46:33 status half-configured perl-base:armhf 5.22.1-9
2017-06-19 03:46:33 status installed perl-base:armhf 5.22.1-9
2017-06-19 03:46:33 startup archives install
2017-06-19 03:46:33 install mawk:armhf <none> 1.3.3-17ubuntu2
2017-06-19 03:46:33 status half-installed mawk:armhf 1.3.3-17ubuntu2
2017-06-19 03:46:33 status unpacked mawk:armhf 1.3.3-17ubuntu2
2017-06-19 03:46:33 status unpacked mawk:armhf 1.3.3-17ubuntu2
